No,Year,Team,Sport,Gold,Silver,Bronze,Participants,Total Gold,Total Silver,Total Bronze,Total Participants,weighted_score_numerator,weighted_score_denominator,adv
0,1896,Australia,Athletics,2.0,0.0,0.0,1,12.0,12.0,11.0,48,15.0,225.0,0.06666666666666667
1,1896,Austria,Cycling,1.0,0.0,2.0,1,6.0,6.0,4.0,15,14.0,99.0,0.1414141414141414
2,1896,Austria,Swimming,1.0,1.0,0.0,2,4.0,4.0,2.0,12,14.0,66.0,0.21212121212121213
3,1896,Denmark,Weightlifting,1.0,1.0,0.0,1,2.0,2.0,2.0,7,13.0,37.0,0.35135135135135137
4,1896,France,Cycling,4.0,1.0,1.0,2,6.0,6.0,4.0,15,38.0,99.0,0.3838383838383838
5,1896,France,Fencing,1.0,2.0,0.0,4,3.0,3.0,2.0,12,21.0,54.0,0.3888888888888889
6,1896,Germany,Gymnastics,5.0,3.0,2.0,5,8.0,6.0,4.0,19,61.0,117.0,0.5213675213675214
7,1896,Germany,Wrestling,1.0,0.0,0.0,1,1.0,1.0,1.0,5,8.0,20.0,0.4
8,1896,Great Britain,Tennis,1.0,0.0,0.0,2,2.0,2.0,3.0,9,9.0,42.0,0.21428571428571427
9,1896,Great Britain,Weightlifting,1.0,1.0,0.0,1,2.0,2.0,2.0,7,13.0,37.0,0.35135135135135137
10,1896,Great Britain/Germany,Tennis,1.0,0.0,0.0,1,2.0,2.0,3.0,9,8.0,42.0,0.19047619047619047
11,1896,Greece,Athletics,1.0,3.0,5.0,16,12.0,12.0,11.0,48,53.0,225.0,0.23555555555555555
12,1896,Greece,Cycling,1.0,3.0,0.0,5,6.0,6.0,4.0,15,27.0,99.0,0.2727272727272727
13,1896,Greece,Fencing,2.0,1.0,1.0,6,3.0,3.0,2.0,12,28.0,54.0,0.5185185185185185
14,1896,Greece,Gymnastics,2.0,1.0,1.0,7,8.0,6.0,4.0,19,29.0,117.0,0.24786324786324787
15,1896,Greece,Shooting,3.0,3.0,3.0,8,5.0,5.0,5.0,18,53.0,93.0,0.5698924731182796
16,1896,Greece,Swimming,1.0,3.0,2.0,8,4.0,4.0,2.0,12,36.0,66.0,0.5454545454545454
17,1896,Hungary,Swimming,2.0,0.0,0.0,1,4.0,4.0,2.0,12,15.0,66.0,0.22727272727272727
18,1896,Switzerland,Gymnastics,1.0,2.0,0.0,2,8.0,6.0,4.0,19,19.0,117.0,0.1623931623931624
19,1896,United States,Athletics,9.0,5.0,2.0,10,12.0,12.0,11.0,48,104.0,225.0,0.4622222222222222
20,1896,United States,Shooting,2.0,1.0,0.0,3,5.0,5.0,5.0,18,22.0,93.0,0.23655913978494625
21,1900,Amateur Athletic Association,Athletics,1.0,0.0,0.0,1,23.0,23.0,22.0,87,8.0,429.0,0.018648018648018648
22,1900,Aschenbrodel,Sailing,1.0,1.0,0.0,2,12.0,11.0,13.0,57,14.0,235.0,0.059574468085106386
23,1900,Australia,Swimming,2.0,0.0,0.0,1,7.0,7.0,7.0,35,15.0,140.0,0.10714285714285714
24,1900,Baby-1,Sailing,1.0,0.0,1.0,1,12.0,11.0,13.0,57,11.0,235.0,0.04680851063829787
25,1900,Belgium,Archery,3.0,3.0,1.0,4,7.0,8.0,5.0,15,43.0,119.0,0.36134453781512604
26,1900,Belgium,Equestrianism,2.0,1.0,1.0,4,6.0,4.0,5.0,28,26.0,105.0,0.24761904761904763
27,1900,Belgium-1,Equestrianism,1.0,0.0,0.0,2,6.0,4.0,5.0,28,9.0,105.0,0.08571428571428572
28,1900,Bona Fide,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
29,1900,Canada,Athletics,1.0,0.0,1.0,3,23.0,23.0,22.0,87,13.0,429.0,0.030303030303030304
30,1900,Carabinier-15,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
31,1900,Cercle de l'Aviron Roubaix-4,Rowing,1.0,0.0,0.0,1,5.0,5.0,5.0,26,8.0,101.0,0.07920792079207921
32,1900,Cicely-1,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
33,1900,Cuba,Fencing,1.0,1.0,0.0,1,7.0,7.0,7.0,51,13.0,156.0,0.08333333333333333
34,1900,Denmark,Shooting,1.0,3.0,0.0,3,8.0,9.0,8.0,26,25.0,151.0,0.16556291390728478
35,1900,Denmark/Sweden,Tug-Of-War,1.0,0.0,0.0,1,1.0,1.0,0.0,2,8.0,14.0,0.5714285714285714
36,1900,Deutscher Schwimm Verband Berlin,Swimming,1.0,0.0,0.0,1,7.0,7.0,7.0,35,8.0,140.0,0.05714285714285714
37,1900,Devon and Somerset Wanderers,Cricket,1.0,0.0,0.0,1,1.0,1.0,0.0,2,8.0,14.0,0.5714285714285714
38,1900,Esterel-1,Sailing,1.0,0.0,0.0,1,12.0,11.0,13.0,57,8.0,235.0,0.03404255319148936
