Rank,NOC,Gold,Silver,Bronze,Total,Year
1,United States,11,7,2,20,1896
2,Greece,10,18,19,47,1896
3,Germany,6,5,2,13,1896
4,France,5,4,2,11,1896
5,Great Britain,2,3,2,7,1896
6,Hungary,2,1,3,6,1896
7,Austria,2,1,2,5,1896
8,Australia,2,0,0,2,1896
9,Denmark,1,2,3,6,1896
10,Switzerland,1,2,0,3,1896
11,Mixed team,1,0,1,2,1896
12,ITA,0,0,0,0,1896
12,SWE,0,0,0,0,1896
1,France,27,39,37,103,1900
2,United States,19,14,15,48,1900
3,Great Britain,15,7,9,31,1900
4,Mixed team,8,5,6,19,1900
5,Belgium,6,7,4,17,1900
6,Switzerland,6,2,1,9,1900
7,Germany,4,3,2,9,1900
8,Italy,3,2,0,5,1900
9,Australia,2,0,3,5,1900
10,Denmark,1,3,2,6,1900
11,Hungary,1,2,2,5,1900
12,Cuba,1,1,0,2,1900
13,Canada,1,0,1,2,1900
14,Spain,1,0,0,1,1900
14,Luxembourg,1,0,0,1,1900
16,Austria,0,3,3,6,1900
17,Norway,0,2,3,5,1900
17,Netherlands,0,2,3,5,1900
19,India,0,2,0,2,1900
20,Bohemia,0,1,1,2,1900
21,Sweden,0,0,1,1,1900
22,ARG,0,0,0,0,1900
22,BRA,0,0,0,0,1900
22,GRE,0,0,0,0,1900
22,IRI,0,0,0,0,1900
22,PER,0,0,0,0,1900
22,ROU,0,0,0,0,1900
22,RUS,0,0,0,0,1900
1,United States,76,78,77,231,1904
2,Germany,4,5,6,15,1904
3,Canada,4,1,1,6,1904
4,Cuba,3,0,0,3,1904
5,Hungary,2,1,1,4,1904
5,Mixed team,2,1,1,4,1904
7,Norway,2,0,0,2,1904
8,Austria,1,1,1,3,1904
9,Great Britain,1,1,0,2,1904
10,Switzerland,1,0,2,3,1904
11,Greece,1,0,1,2,1904
12,Australia,0,3,1,4,1904
13,France,0,1,0,1,1904
14,ITA,0,0,0,0,1904
14,NFL,0,0,0,0,1904
14,RSA,0,0,0,0,1904
1,CRT,0,0,0,0,1906
1,EGY,0,0,0,0,1906
1,TUR,0,0,0,0,1906
